,2014,2015,2016,2017,2018,2019,2020
Africa,20346.000000000022,22710.000000000047,28191.999999999967,29188.000000000004,29890.000000000007,40891.99999999993,38082.99999999988
Asia,134543.9999999999,137652.99999999988,134850.0,149054.00000000006,139894.00000000003,163845.00000000017,152218.0000000002
Eur,38215.00000000007,36798.00000000004,38081.99999999999,33052.99999999997,34691.999999999985,33424.999999999935,29176.999999999898
LATAM,16898.000000000076,19317.000000000047,22180.999999999985,24675.999999999953,26546.999999999975,28817.99999999992,27172.999999999854
NortAme,5433.000000000102,4948.000000000077,6989.999999999981,9612.999999999938,10189.99999999996,8141.99999999988,7891.9999999998145
Ocean,1276.0000000001112,1685.0000000000828,1787.9999999999836,1472.999999999929,1833.999999999956,1833.9999999998554,1678.9999999997835
Total,216711.99999999974,223110.99999999983,232083.00000000006,247057.00000000012,243047.0000000001,276956.00000000035,256222.00000000044
