Etiquetas de fila,Suma de 1980,Suma de 1981,Suma de 1982,Suma de 1983,Suma de 1984,Suma de 1985,Suma de 1986,Suma de 1987,Suma de 1988,Suma de 1989,Suma de 1990,Suma de 1991,Suma de 1992,Suma de 1993,Suma de 1994,Suma de 1995,Suma de 1996,Suma de 1997,Suma de 1998,Suma de 1999,Suma de 2000,Suma de 2001,Suma de 2002,Suma de 2003,Suma de 2004,Suma de 2005,Suma de 2006,Suma de 2007,Suma de 2008,Suma de 2009,Suma de 2010,Suma de 2011,Suma de 2013,Suma de 2012
Africa,3951,4363,3819,2671,2639,2650,3782,7494,7552,9894,11012,14228,19242,16531,13072,14806,15700,14471,13791,15996,20346,24292,22710,23366,28192,27523,29188,28284,29890,34534,40892,35441,38543,38083
Asia,31025,34314,30214,24696,27274,23850,28739,43203,47454,60256,72829,89964,90752,98737,88852,90424,103030,106383,90929,106844,134544,148083,137653,131769,134850,159253,149054,133459,139894,141434,163845,146894,155075,152218
Europe,39760,44802,42720,24638,22287,20844,24370,46698,54726,60893,68301,57938,64123,62937,62531,55764,55642,48841,36719,35639,38215,42779,36798,34556,38082,35955,33053,33495,34692,35078,33425,26778,28691,29177
Latin America and the Caribbean,13081,15215,16769,15427,13678,15171,21179,28471,21924,25060,27942,36827,37853,33840,21341,20262,18645,17174,13830,15088,16898,20067,19317,20263,22181,24747,24676,26011,26547,26867,28818,27856,24950,27173
Northern America,9378,10030,9074,7100,6661,6543,7074,7705,6469,6790,5895,6057,6846,7438,5902,4891,5516,4753,4437,5196,5433,5604,4948,5543,6990,8394,9613,9463,10190,8995,8142,7677,8503,7892
Oceania,1942,1839,1675,1018,878,920,904,1200,1181,1539,2075,2495,2871,2566,1967,1565,1552,1263,1021,1055,1276,1818,1685,1800,1788,1585,1473,1693,1834,1860,1834,1548,1775,1679
Total general,99137,110563,104271,75550,73417,69978,86048,134771,139306,164432,188054,207509,221687,222049,193665,187712,200085,192885,160727,179818,216712,242643,223111,217297,232083,257457,247057,232405,243047,248768,276956,246194,257537,256222
